, ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,Smart Economy 9_E,Smart Economy 9_E1,,Smart Economy 9,Electric,_E,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6052,0.6355,,Peak,0.2538,0.2665,Off peak ,0.1986,0.2085,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_F,Smart Economy 9_F1,,Smart Economy 9,Electric,_F,,Smart Economy 9,,,Direct Debit,Standing Charge,0.683,0.7172,,Peak,0.2469,0.2592,Off peak ,0.1929,0.2025,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_G,Smart Economy 9_G1,,Smart Economy 9,Electric,_G,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4928,0.5174,,Peak,0.2722,0.2858,Off peak ,0.2007,0.2107,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_P,Smart Economy 9_P1,,Smart Economy 9,Electric,_P,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5986,0.6285,,Peak,0.2691,0.2826,Off peak ,0.2032,0.2134,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_N,Smart Economy 9_N1,,Smart Economy 9,Electric,_N,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6194,0.6504,,Peak,0.2573,0.2702,Off peak ,0.1969,0.2067,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_J,Smart Economy 9_J1,,Smart Economy 9,Electric,_J,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5538,0.5815,,Peak,0.2783,0.2922,Off peak ,0.2004,0.2104,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_H,Smart Economy 9_H1,,Smart Economy 9,Electric,_H,,Smart Economy 9,,,Direct Debit,Standing Charge,0.614,0.6447,,Peak,0.2645,0.2777,Off peak ,0.2018,0.2119,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_K,Smart Economy 9_K1,,Smart Economy 9,Electric,_K,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6053,0.6356,,Peak,0.2663,0.2796,Off peak ,0.1989,0.2088,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_L,Smart Economy 9_L1,,Smart Economy 9,Electric,_L,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6534,0.6861,,Peak,0.2671,0.2805,Off peak ,0.1934,0.2031,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_M,Smart Economy 9_M1,,Smart Economy 9,Electric,_M,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6484,0.6808,,Peak,0.2451,0.2574,Off peak ,0.2001,0.2101,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_A,2 Rate_A1,,2 Rate,Electric,_A,,2 Rate,,,Direct Debit,Standing Charge,0.4876,0.512,,Peak,0.2682,0.2816,Off peak ,0.1884,0.1978,,,,,,,,Live Run SVT Direct Debit 
